study,claim_id,component_id,language,outcome,map_number,seed,estimate,analysis_unit,outcome_scale
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,93,0.270079162063219,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,94,0.540292272473944,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,95,0.425235112003034,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,96,0.371960650224405,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,97,0.491469681900102,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,98,0.607684225706169,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,99,0.16495531881533,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,100,0.270666085931215,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,101,0.493204851921838,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,90,0.405027319171735,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,91,0.650194396244606,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,92,0.380800620740813,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,93,0.537271179953808,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,94,0.382463511664649,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,95,0.605932105171031,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,96,0.654672388145225,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,97,0.564371303559582,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,98,0.487999959538764,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,99,0.661713628876459,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,100,0.622971974475134,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,101,0.669471649269908,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,90,3.21994861011452,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,91,3.99533455172771,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,92,3.42259372608366,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,93,3.36550232594271,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,94,3.25903926446557,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,95,4.14302599889831,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,96,4.8240295041493,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,97,3.88625407809238,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,98,3.58154014230543,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,99,4.25336850177962,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,100,3.88861154215897,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,101,4.50170484950605,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,90,0.618510330878689,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,91,0.859991524297541,base_seed,raw
